tow_date,tow_description,police_district
2007-01-01T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-01T00:00:00.000,ACCIDENT,District E
2007-01-01T00:00:00.000,ACCIDENT,District C
2007-01-01T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-01T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-01T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-02T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-02T00:00:00.000,ACCIDENT,District E
2007-01-02T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-03T00:00:00.000,STOLEN VEHICLE,District E
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-03T00:00:00.000,STOLEN VEHICLE,District E
2007-01-03T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-03T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-03T00:00:00.000,ABANDONED VEHICLE,District B
2007-01-03T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District D
2017-05-11T00:00:00.000,IMPOUNDED,District C
2015-01-29T00:00:00.000,IMPOUNDED,District A
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-03T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-03T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,STOLEN VEHICLE,District E
2007-01-04T00:00:00.000,ACCIDENT,District E
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-04T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-04T00:00:00.000,STOLEN VEHICLE,District C
2007-01-05T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-05T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-05T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-05T00:00:00.000,ABANDONED VEHICLE,District B
2007-01-06T00:00:00.000,ABANDONED VEHICLE,District D
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-06T00:00:00.000,ABANDONED VEHICLE,District A
2007-01-06T00:00:00.000,STOLEN VEHICLE,District C
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-06T00:00:00.000,ACCIDENT,District B
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-06T00:00:00.000,IMPOUNDED,District B
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-06T00:00:00.000,ACCIDENT,District D
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-06T00:00:00.000,ACCIDENT,District E
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-06T00:00:00.000,ACCIDENT,District C
2007-01-06T00:00:00.000,ILLEGAL VEHICLE,District E
2007-01-07T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-07T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-07T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-07T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-08T00:00:00.000,GONE ON ARRIVAL,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-08T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-08T00:00:00.000,IMPOUNDED,District E
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-09T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-09T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-09T00:00:00.000,ILLEGALLY PARKED,District E
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-09T00:00:00.000,ACCIDENT,District B
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-09T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-10T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District B
2007-01-10T00:00:00.000,ABANDONED VEHICLE,District E
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-10T00:00:00.000,ACCIDENT,District C
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-10T00:00:00.000,ABANDONED VEHICLE,District A
2007-01-10T00:00:00.000,ABANDONED VEHICLE,District E
2007-01-10T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-10T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-10T00:00:00.000,ILLEGALLY PARKED,District C
2007-01-10T00:00:00.000,STOLEN VEHICLE,District B
2007-01-11T00:00:00.000,IMPOUNDED,District B
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District C
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District C
2007-01-11T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-11T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-12T00:00:00.000,ILLEGAL VEHICLE,District A
2007-01-12T00:00:00.000,ILLEGALLY PARKED,District B
2007-01-12T00:00:00.000,ILLEGALLY PARKED,District D
2007-01-12T00:00:00.000,ABANDONED VEHICLE,District C
2007-01-12T00:00:00.000,ABANDONED VEHICLE,District E
